contrast,location,n_cycles
1.00E-08,1,1
1.00E-06,1,1
1.00E-04,1,1
0.001,1,1
1.00E-02,1,1
0.1,1,1
1,1,1
1.00E-08,-1,1
1.00E-06,-1,1
1.00E-04,-1,1
0.001,-1,1
1.00E-02,-1,1
0.1,-1,1
1,-1,1
1.00E-08,1,2
1.00E-06,1,2
1.00E-04,1,2
0.001,1,2
1.00E-02,1,2
0.1,1,2
1,1,2
1.00E-08,-1,2
1.00E-06,-1,2
1.00E-04,-1,2
0.001,-1,2
1.00E-02,-1,2
0.1,-1,2
1,-1,2
1.00E-08,1,4
1.00E-06,1,4
1.00E-04,1,4
0.001,1,4
1.00E-02,1,4
0.1,1,4
1,1,4
1.00E-08,-1,4
1.00E-06,-1,4
1.00E-04,-1,4
0.001,-1,4
1.00E-02,-1,4
0.1,-1,4
1,-1,4
1.00E-08,1,8
1.00E-06,1,8
1.00E-04,1,8
0.001,1,8
1.00E-02,1,8
0.1,1,8
1,1,8
1.00E-08,-1,8
1.00E-06,-1,8
1.00E-04,-1,8
0.001,-1,8
1.00E-02,-1,8
0.1,-1,8
1,-1,8
1.00E-08,1,16
1.00E-06,1,16
1.00E-04,1,16
0.001,1,16
1.00E-02,1,16
0.1,1,16
1,1,16
1.00E-08,-1,16
1.00E-06,-1,16
1.00E-04,-1,16
0.001,-1,16
1.00E-02,-1,16
0.1,-1,16
1,-1,16