blobHeight,blobWidth,offset
1,0.07,0
0.2593,0.27,0
0.1489,0.47,0
0.1045,0.67,0
1,0.07,0.005
0.2593,0.27,0.005
0.1489,0.47,0.005
0.1045,0.67,0.005
1,0.07,0.01
0.2593,0.27,0.01
0.1489,0.47,0.01
0.1045,0.67,0.01
1,0.07,0.02
0.2593,0.27,0.02
0.1489,0.47,0.02
0.1045,0.67,0.02
1,0.07,0.04
0.2593,0.27,0.04
0.1489,0.47,0.04
0.1045,0.67,0.04
1,0.07,0.08
0.2593,0.27,0.08
0.1489,0.47,0.08
0.1045,0.67,0.08
1,0.07,0.16
0.2593,0.27,0.16
0.1489,0.47,0.16
0.1045,0.67,0.16
1,0.07,-0.01
0.2593,0.27,-0.01
0.1489,0.47,-0.01
0.1045,0.67,-0.01
1,0.07,-0.02
0.2593,0.27,-0.02
0.1489,0.47,-0.02
0.1045,0.67,-0.02
1,0.07,-0.04
0.2593,0.27,-0.04
0.1489,0.47,-0.04
0.1045,0.67,-0.04
1,0.07,-0.08
0.2593,0.27,-0.08
0.1489,0.47,-0.08
0.1045,0.67,-0.08
1,0.07,-0.16
0.2593,0.27,-0.16
0.1489,0.47,-0.16
0.1045,0.67,-0.16